Metric,Original_mean,Holistic_mean,Linguistic_mean,Shapiro_p,p_value,Effect_size,Test,Better
TTR,0.55515,0.6656,0.5590000000000002,0.16672342611392332,3.4329357280045565e-05,1.2028153206681376,t-test,Linguistic
LD,0.5035000000000001,0.47129999999999994,0.47454999999999997,0.4043921599516941,0.7023506516829674,-0.08675275187349105,t-test,Holistic
WR,0.4925,0.41335000000000005,0.4457000000000001,0.2770130220935882,0.0043792263560706295,-0.7228873353228547,t-test,Holistic
MDD,2.7965499999999994,2.49055,2.85805,0.5595988602839121,0.000928173386700829,-0.875653273687502,t-test,Holistic
SI,0.30389999999999995,0.42475000000000007,0.4537,0.4986198536813968,0.3633677320460774,-0.20825127237471067,t-test,Holistic
Cross,4.55,0.9,3.9,0.002698341828610354,0.0005095258567424897,-0.75,Wilcoxon,Holistic
WSF,6.128,5.456499999999999,6.842500000000001,0.0024702168562338693,0.0007787676862143366,-0.9,Wilcoxon,Holistic
LIX,49.57899999999999,43.6985,52.657999999999994,0.0204594443890536,0.000209808349609375,-0.9,Wilcoxon,Holistic
FRE,40.3675,57.05749999999999,42.828500000000005,0.007306155753353411,6.29425048828125e-05,0.9,Wilcoxon,Holistic
Fog,15.703999999999999,13.9225,17.1395,0.0015993572549381045,0.0003223419189453125,-0.9,Wilcoxon,Holistic
