ID,Text,,
BN_1,"BAföG (für Schüler)
________________________________________
Ausbildungsförderung für Schülerinnen und Schüler
Leistungsbeschreibung
Schülerinnen und Schüler bestimmter Schulformen haben einen Rechtsanspruch auf Leistungen nach dem BAföG, wenn ihnen die für ihren Lebensunterhalt und ihre Ausbildung erforderlichen Mittel anderweitig nicht zur Verfügung stehen.

Es werden unter bestimmten Voraussetzungen Schülerinnen und Schüler von weiterführenden allgemeinbildenden Schulen und Berufsfachschulen ab Klasse 10 sowie Fach- und Fachoberschulen, Abendhauptschulen, Berufsaufbauschulen, Abendrealschulen, Abendgymnasien und Kollegs gefördert.

Der Ausbildungsbedarf ist in der Regel abhängig vom Einkommen und Vermögen der Auszubildenden und vom Einkommen der Eltern oder des Ehegatten. Die Förderung am Abendgymnasium und Kolleg erfolgt elternunabhängig.

Es ist ein Antrag erforderlich, der grundsätzlich beim Amt für Ausbildungsförderung am Wohnort der Eltern zu stellen ist. Beim Besuch des Abendgymnasiums und Kollegs ist das Amt am Schulort zuständig.
Zu erreichen sind die Mitarbeiterinnen und Mitarbeiter persönlich während der Sprechzeiten im Dienstgebäude Campestr. 7, 38102 Braunschweig, 1. OG. Eine vorherige Terminabsprache ist nicht nötig.
Sprechzeiten:
Terminabsprachen könne Sie grundsätzlich entweder telefonisch, per E-Mail oder über das Online-Formular vornehmen.
Welche Unterlagen werden benötigt?
Antragformulare liegen im Amt für Ausbildungsförderung bereit oder online unter www.bafög.de",,
BN_10,"Eltern, die in der Stadt Hildesheim ihren Wohnsitz haben, können hier für ihre neu geborenen Kinder Elterngeld beantragen. Eltern, die nicht in der Stadt Hildesheim, aber im Landkreis Hildesheim wohnen, stellen den Antrag bitte dort. 
Das Elterngeld soll die Eltern in der Frühphase der Elternschaft unterstützen und dazu beitragen, dass Familien ohne finanzielle Nöte in ihr Familienleben hineinfinden und sich vorrangig der Betreuung ihrer Kinder widmen. Ferner soll die Vereinbarkeit von Familie und Beruf sowie die partnerschaftliche Aufteilung von Familien- und Erwerbsarbeit erleichtert werden. 
Erwerbstätige Eltern, die ihr Berufsleben unterbrechen oder ihre Berufstätigkeit auf höchstens 30 Stunden wöchentlich reduzieren, können zwölf Monate lang ein Elterngeld in Höhe von 67 Prozent bzw. 65 Prozent ihres bereinigten Nettoeinkommens, maximal 1.800 Euro im Monat, erhalten. Zwei Partnermonate werden zusätzlich als Bonus gewährt, wenn der jeweils andere Elternteil in dieser Zeit seine Erwerbstätigkeit zugunsten der Kindererziehung zeitlich einschränkt oder aussetzt. 
Eltern, die vor der Geburt ihres Kindes nicht erwerbstätig waren, erhalten ein Mindestelterngeld von 300 Euro monatlich. 
Das Elterngeld ist schriftlich auf dem dafür vorgesehenen Vordruck, den Sie in der Elterngeldstelle, bei der Information im Eingangsbereich des Gebäudes Markt 2 sowie online unter Formulare (siehe unten) erhalten können, zu beantragen. Eine rückwirkende Bewilligung des Elterngeldes ist nur für die letzten drei Lebensmonate vor der Antragstellung möglich. 
Ergänzende Informationen über das Elterngeld und das Antragsverfahren erhalten Sie auf den Webseiten des Niedersächsischen Ministeriums für Soziales, Gesundheit und Gleichstellung und des Bundesministeriums für Familie, Senioren, Frauen und Jugend. Mit dem Online-Rechner können Sie Ihr Elterngeld selbst berechnen. Bitte haben Sie Verständnis dafür, dass eine Vorabberechnung durch die Elterngeldstelle hingegen nicht möglich sein wird. 
Ein persönlicher Besuch in der Elterngeldstelle ist in den allermeisten Fällen nicht notwendig. Bitte nutzen Sie den Hausbriefkasten der Stadtverwaltung oder reichen Sie Ihre Unterlagen per E-Mail ein. Sollte ausnahmsweise dennoch ein Besuch erforderlich sein, vereinbaren Sie dazu bitte einen Termin unter den genannten Telefonnummern.",,
BN_2,"Fundsachen
________________________________________
Gefundene Wertgegenstand mit einem Gegenwert von mehr als 10 Euro, müssen abgeben werden.
Leistungsbeschreibung
Wenn Sie einen Wertgegenstand (das heißt einen Gegenstand mit einem Wert von mehr als 10 Euro) gefunden haben, müssen Sie diesen Fund abgeben. Anlaufstellen sind die Fundbüros der Kommunen. Dort wird eine Fundanzeige aufgenommen. Fundsache, der Fundort und die Fundzeit sowie ihre Personalien werden festgehalten, da Sie unter Umständen später Anspruch auf Finderlohn haben oder auf den Fund selbst, falls sich nach Fristablauf kein Besitzer feststellen lässt.
Aufbewahrung und Versteigerung
Das Fundbüro ist verpflichtet, Fundsachen mindestens sechs Monate lang aufzubewahren. Meldet sich der Besitzer innerhalb dieser Zeit nicht, so haben Sie als Finder/in Anspruch auf den gefundenen Gegenstand. Wird dieses Recht von Ihnen nicht wahrgenommen oder handelt es sich bei den Fundsachen um in öffentlichen Gebäuden oder Verkehrsmitteln gefundene Gegenstände, wird die Stadt oder die Gemeinde selbst Eigentümerin der Sachen.
Diese Fundsachen werden dann in größeren zeitlichen Abständen nach vorheriger Ankündigung durch das Fundbüro öffentlich versteigert. Die Einnahmen der Versteigerung fließen in den Haushalt der Gemeinde.
Tiere 
Auch Tiere gelten als Fundsache. Wenn Sie ein Tier gefunden haben, sollten Sie mit der zuständigen Kommune Kontakt aufnehmen und den Fund dort anzeigen. In Absprache mit der Gemeinde können Sie das Tier gegebenenfalls auch dort abgeben. Es wird dann üblicherweise zur weiteren Versorgung in einem Tierheim untergebracht.
Sie können Fundtiere auch ohne Anzeige direkt in einem Tierheim abgeben. Die Fundanzeige wird dann durch das Tierheim erledigt, da ohne Anzeige die Kommune nicht dazu verpflichtet ist, die Kosten der Unterbringung zu tragen.
Hinweise / Besonderheiten
Zusätzlich bieten wir Ihnen
 eine ""Onlinesuche"" nach in Braunschweig verlorenen Gegenständen,
 eine ""Veröffentlichungsliste"" über in Braunschweig gefundene Gegenstände und
 die Möglichkeit, uns eine E-Mail zuzusenden.
Fundgegenstände, die innerhalb eines halben Jahres nicht vom Eigentümer bzw. vom Finder abgeholt wurden, werden versteigert.
Eine Gewährleistung für den Wert sowie mögliche Mängel der versteigerten Gegenstände wird nicht übernommen.",,
BN_3,"Kindertagesstätte, Platzvermittlung und Voranmeldung 
________________________________________ 
Der Kita-Finder ist das zentrale Online-Anmeldeportal für alle öffentlichen Kindertagestätten der Stadt Braunschweig sowie der Freien Träger von Kindertagesstätten und Eltern-Kind-Gruppen in Braunschweig. 
Leistungsbeschreibung 
Über den Kita-Finder finden Sie alle wichtigen Informationen für die Suche und die künftige Online-Voranmeldung für einen Kinderbetreuungsplatz in Braunschweig. Der Braunschweiger Kita-Finder beinhaltet eine Übersicht über alle Braunschweiger Kinderkrippen (für Kinder bis 3 Jahren) und Kindergärten (für Kinder ab 3 Jahren). 
Durch die Eingabe Ihrer persönlichen Suchkriterien werden Ihnen passende und gerne auch wohnortnahe Betreuungseinrichtungen übersichtlich angezeigt. Sie können sich die Einrichtungen auch auf einer interaktiven Stadtkarte anzeigen lassen. 
Die Online-Vorannmeldung ermöglicht Ihnen in einem Vorgang das Voranmelden in mehreren Ihrer ausgewählten Wunsch-Kitas nach einer von Ihnen angegebenen Priorität. Nach Eingabe aller für die Platzvergabe relevanten Daten zu Ihrem Kind, zu Ihnen und Ihrem gewünschten Betreuungsbedarf übersenden Sie die Voranmeldung für die weitere Bearbeitung an die ausgewählten Einrichtungen.",,
BN_4,"Allgemeine Informationen 
Sie sind aus Ihrer Wohnung in Hannover ausgezogen und ziehen ins Ausland oder Sie geben eine Nebenwohnung außerhalb Hannovers auf? 
Verfahrensablauf 
Für die Abmeldung können Sie persönlich zu uns kommen. Nutzen Sie die Online-Terminvergabe der Bürgerämter, siehe Link unten. 
Bei Abmeldungen von gemeinsam ausziehenden Familien mit minderjährigen Kindern reicht es aus, wenn ein Elternteil die Abmeldung vornimmt. Dies gilt nur, wenn die Eltern verheiratet sind. 
Um das Ausfüllen des Vordrucks brauchen Sie sich nicht zu kümmern. Dies wird von uns an den Beratungsplätzen für Sie erledigt. Sie müssen Ihre Abmeldung lediglich unterschreiben. 
Sie können Ihre Abmeldung ebenfalls schriftlich erledigen. Nötig sind folgende Angaben: 
- Namen und Geburtsdaten der Personen, die ausziehen 
- Tag des Auszugs 
- Anschrift der alten Wohnung 
- Anschrift der neuen Wohnung (mindestens die Angabe des Wegzugslandes) 
- Unterschrift der ausziehenden Personen 
- Bitte senden Sie uns zusammen mit diesen Angaben eine Kopie der Personalausweise oder Pässe der wegziehenden Personen zu. 
Welche Unterlagen werden benötigt? 
- Ihr Personalausweis sowie die Ausweisdokumente aller abzumeldenden Familienmitglieder 
- Ausländische Mitbürgerinnen und Mitbürger benötigen ihre Pässe 
Welche Gebühren fallen an? 
Die Abmeldung ist gebührenfrei. 
Welche Fristen muss ich beachten? 
Meldefrist: Sie müssen sich innerhalb von zwei Wochen nach dem Auszug abmelden, wenn Sie keine neue Wohnung im Inland beziehen. Eine Abmeldung vor dem Auszugstermin ist frühestens eine Woche vor dem Auszug möglich. 
Bearbeitungsdauer 
Ihre Abmeldung wird sofort vorgenommen. Die Abmeldebestätigung können Sie gleich mitnehmen. 
Rechtsgrundlage 
- Bundesmeldegesetz (BMG) 
Was sollte ich noch wissen? 
- Bei einem Umzug innerhalb der Bundesrepublik Deutschland müssen Sie sich nicht abmelden. Eine Anmeldung am neuen Wohnort ist ausreichend. 
- Die Abmeldung einer Nebenwohnung in Hannover muss über die Meldebehörde Ihrer Hauptwohnung vorgenommen werden. 
- Bei einem Wegzug ins Ausland und der Aufgabe einer Nebenwohnung besteht weiterhin die Pflicht zur Abmeldung. 
- Deutsche Staatsbürger/innen, die ins Ausland verziehen, können durch Angabe ihrer genauen Auslandsanschrift über anstehende Bundestags- und Europawahlen informiert werden. Bereits ins Ausland Verzogene können ihrer letzten inländischen Meldebehörde zu diesem Zweck eine aktuelle Auslandsanschrift angeben. 
- Für die Abmeldung von Kindern und Jugendlichen bis zum vollendeten 16. Lebensjahr muss die Person sorgen, aus deren Wohnung das Kind oder der Jugendliche auszieht.",,
BN_5,"Elterngeld und Elternzeit
________________________________________
Leistungsbeschreibung
Das Elterngeld ist eine staatliche Leistung für Eltern von Säuglingen und Kleinkindern.
Es soll den Eltern ermöglichen, ihr Kind zu erziehen und zu betreuen.
Elterngeld gibt es in drei Varianten:
 Basiselterngeld
 ElterngeldPlus
 Partnerschaftsbonusmonate
Diese Varianten können miteinander kombiniert werden.
Das Basiselterngeld wird an Väter und Mütter für maximal 14 Lebensmonate gezahlt.
Beide können den Zeitraum frei untereinander aufteilen. Allerdings gibt es sowohl eine Mindestbezugszeit von 2 Lebensmonaten als auch eine Maximalbezugszeit von 12 Lebensmonaten. ElterngeldPlus kann darüber hinaus für einen längeren Zeitraum bezogen werden.
Die Höhe des Elterngeldes orientiert sich an den laufend zu versteuernden Einkünften, welche der antragstellende Elternteil vor der Geburt des Kindes erzielt hat und welches nach der Geburt wegfällt. Das Elterngeld ersetzt dieses entfallende Einkommen mit einer Ersatzrate, die nach der Höhe des Einkommens vor der Geburt des Kindes gestaffelt ist (65-100%). Es beträgt mindestens 300,-  und höchstens 1.800,-  pro Lebensmonat des Kindes.
Elterngeld gibt es auch für Eltern, die vor der Geburt gar kein Einkommen hatten.
In diesem Fall könnte dann der Mindestbetrag in Höhe von 300,-  beantragt werden.
Elterngeld wird bei der Elterngeldstelle beantragt. Der Antrag muss schriftlich nach der Geburt des Kindes gestellt werden.
Wir raten allen Antragstellern sich im Vorfeld von der Elterngeldstelle zu den vielfältigen Bezugsmöglichkeiten beraten zu lassen.
Alle Unterlagen und weitere Informationen finden Sie unter dem Punkt Downloads/Link

Elternzeit
Elternzeit ist eine unbezahlte Auszeit vom Berufsleben für die Betreuung und die Erziehung Ihres Kindes. Grundsätzlich hat jeder Elternteil einen Anspruch auf bis zu drei Jahre Elternzeit, die innerhalb der ersten drei Lebensjahre genommen werden kann.
Bis zu 24 Monate können auf den Zeitraum zwischen dem dritten Geburtstag und der Vollendung des achten Lebensjahres übertragen werden, wenn diese nicht innerhalb der ersten drei Lebensjahren in Anspruch genommen wurden. Die Übertragung muss dem Arbeitgeber vor dem dritten Geburtstag des Kindes mitgeteilt werden. 
Die Anmeldung der Elternzeit sollte beim Arbeitgeber schriftlich erfolgen. Innerhalb der ersten drei Lebensjahre muss dies spätestens sieben Wochen vor Antritt der Elternzeit erfolgen, nach dem dritten Lebensjahr spätestens 13 Wochen davor.
Elternzeit können Sie unter folgenden Voraussetzungen nehmen:
Sie sind Arbeitnehmerin oder Arbeitnehmer.
Sie betreuen und erziehen Ihr Kind selbst und leben mit Ihrem Kind in einem gemeinsamen Haushalt 
Während der Elternzeit arbeiten Sie entweder gar nicht oder höchstens 30 Stunden (für Geburten ab 01.09.2021 bis zu 32 Stunden) pro Woche.
Welche Unterlagen werden benötigt?
 Vollständig ausgefüllter Antrag auf Elterngeld bzw. ElterngeldPlus
 Geburtsbescheinigung für Elterngeld
 Bescheinigung über Anspruch auf Mutterschaftsgeld
 Erweiterte Unterlagen, abhängig von den persönlichen Verhältnissen, sind aus dem Antragformular ersichtlich",,
BN_6,"Führungszeugnis 
________________________________________ 
Informationen zum Beantragen eines Führungszeugnisses 
Leistungsbeschreibung 
Das Führungszeugnis ist eine Urkunde, die vom Bundeszentralregister in Bonn auf Antrag ausgestellt wird. 
Es gibt folgende Arten von Führungszeugnissen: 
 für private Zwecke 
(wird nach Ausstellung dem Antragsteller zugesandt) und 
 zur Vorlage bei einer deutschen Behörde 
(wird nach Ausstellung der angegebenen Behörde zugeleitet) und 
 erweiterte Führungszeugnisse nach §30a Bundeszentralregistergesetz (BZRG) und 
 Europäische Führungszeugnisse nach §30b BZRG für EU-Bürger bzw. für Deutsche, die noch eine weitere EU-Staatsangehörigkeit besitzen. 
Das Führungszeugnis für private Zwecke wird im Allgemeinen benötigt, wenn man dem künftigen Arbeitgeber auf sein Verlangen hin nachweisen muss, dass man nicht vorbestraft ist. 
Ein Behördenführungszeugnis wird benötigt, wenn man bei einer Behörde arbeiten möchte oder eine amtliche Erlaubnis, z. B. eine Gaststättenerlaubnis, beantragt hat. Das Führungszeugnis wird direkt an die Behörde geschickt. Hierfür wird die genaue Anschrift der Behörde (keine Postfachangabe) benötigt. 

Sie haben -auf Antrag- die Möglichkeit das Führungszeugnis, wenn es Eintragungen enthält, zuvor beim Amtsgericht Braunschweig einzusehen. Bitte bedenken Sie, dass das Führungszeugnis damit erst später der Behörde vorliegt. 
Für das erweiterte Führungszeugnis erhält die Person ein Anforderungsschreiben des Arbeitgebers, des Trägers oder der Trägerorganisation der bzw. die das Führungszeugnis benötigt. Das Schreiben muss folgende Angaben enthalten: 
 Daten der Organisation 
 Bestätigung, dass die Voraussetzungen nach §30a vorliegen 
 Name, Vorname, Geburtsdatum und Anschrift der Person, die das Führungszeugnis beantragen soll 
 die gewünschte Belegart 
 ggf. die Anschrift der Behörde, an die das Führungszeugnis gesandt werden soll 
Voraussetzungen 
Beantragen kann jede Person, 
 die das 14. Lebensjahr vollendet hat. Bis zum 18. Lebensjahr kann dieser Antrag auch vom gesetzlichen Vertreter gestellt werden, 
 die mit Haupt- oder Nebenwohnung in Braunschweig gemeldet ist. 
Beantragung: 
 online über die Abteilung Bürgerangelegenheiten (ohne Online Ausweisfunktion) 
 direkt beim Bundesamt für Justiz (mit Online Ausweisfunktion) 
 persönlich 
Welche Unterlagen werden benötigt? 
 Personalausweis, Reisepass, Kinderreisepass oder Führerschein 
 bei Führungszeugnissen zur Vorlage bei einer Behörde die Anschrift und das Aktenzeichen der Behörde (keine Postfachangabe) 
 bei schriftlicher Beantragung zusätzlich Beglaubigung der Unterschrift durch einen Notar oder eine Behörde 
 für ein erweitertes Führungszeugnis zusätzlich das Anforderungsschreiben des Arbeitgebers, der Einrichtung oder des Trägers der Einrichtung 
Welche Gebühren fallen an? 
Die Gebühr beträgt 13,00 EUR. 
Welche Fristen muss ich beachten? 
Ihr Antrag wird sofort bearbeitet und dem Bundesamt für Justiz, Dienststelle Bundeszentralregister, in Bonn zur Ausstellung zugesandt. 
Was sollte ich noch wissen? 
Bei Online-Beantragung eines gebührenbefreiten Führungszeugnisses ist der Nachweis über die Gebührenbefreiung direkt bei Beantragung mit einzureichen. Erfolgt kein Nachweis oder ist der Nachweis nicht ausreichend, so wird der Antrag abgelehnt. 
Hinweise / Besonderheiten 
Vermehrt werben andere Internetanbieter wie z.B. ""www.amtsweg.com"" oder ""www.fuehrungszeugnis.net"" damit, dass man über diese Plattformen ein Führungszeugnis beantragen kann. Tatsächlich handelt es sich hierbei um ein kostenpflichtiges Abo-Angebot. Ein Führungszeugnis lässt sich über diese Anbieter nicht beantragen.",,
BN_7,"Zweitwohnungssteuer 
________________________________________ 
Die Zweitwohnungssteuer ist eine örtliche Aufwandsteuer. Rechtsgrundlage ist die Zweitwohnungssteuersatzung der Stadt Braunschweig vom 16. Februar 2021. Die Zweitwohnungssteuer wird ab dem 1. Januar 2022 erhoben. 
Hintergrund der Einführung der Steuer ist auch die Beteiligung aller in Braunschweig Wohnenden an den Kosten für die Infrastruktur, die zwar allen Einwohnerinnen und Einwohnern zur Verfügung steht, aber über den kommunalen Finanzausgleich nur von in Braunschweig mit Hauptwohnsitz angemeldeten Einwohnerinnen und Einwohnern finanziert werden. 
Leistungsbeschreibung 
Gegenstand der Steuer ist das Innehaben einer Zweitwohnung im Stadtgebiet. Steuerpflichtig ist der Inhaber/die Inhaberin der Zweitwohnung, sofern er/sie in dieser Wohnung mit Nebenwohnung angemeldet ist oder angemeldet sein müsste. 
Als Bemessungsgrundlage wird die Jahreskaltmiete zu Grunde gelegt, d.h. die Miete ohne Nebenkosten. Der Steuersatz ist zehn Prozent der Nettokaltmiete. Ist die Wohnung im Eigentum, zu einem Entgelt unterhalb der ortsüblichen Miete oder unentgeltlich überlassen, wird die Nettokaltmiete auf Grundlage der für Räume in ähnlicher Art, Lage und Ausstattung zu zahlenden Miete geschätzt. 
Ausnahmen 
Von der Steuer ausgenommen sind zum Beispiel Studierende und Auszubildende, die am Studien- bzw. Ausbildungsort in einer anderen Stadt ihren Erstwohnsitz gemeldet haben und eine Nebenwohnung bei ihren Eltern in Braunschweig haben, sofern sie das 28. Lebensjahr noch nicht vollendet haben. 
Ebenfalls ausgenommen sind Menschen, die in der Nebenwohnung therapeutisch oder sozialpädagogisch betreut werden. 
Die weiteren Ausnahmen sind abschließend durch § 3 der Zweitwohnungssteuersatzung geregelt. 
Ablauf des Verfahrens 
Zur Veranlagung der Zweitwohnungsteuer werden die Personen, die eine Nebenwohnung im Stadtgebiet Braunschweig angemeldet haben, vom Fachbereich Finanzen gebeten, eine Zweitwohnungssteuererklärung abzugeben. Dem Erklärungsvordruck sind ausführliche Erläuterungen und ein Auszug der Zweitwohnungssteuersatzung beigefügt. 
Die Steuererklärung muss ausgefüllt zurückgesandt werden, damit über die Zweitwohnungssteuerpflicht entschieden werden kann. 
Die Steuer wird zu je einem Viertel ihres Jahresbetrages am 15. Februar, 15. Mai, 15. August und 15. November fällig.",,
BN_8,"Anmeldung einer Eheschliessung 
Die beabsichtigte Eheschließung ist beim Standesamt anzumelden. Die Anmeldung dient der Prüfung der Ehefähigkeit in rechtlicher Hinsicht und der Ermittlung etwaiger Eheverbote. 
Vor der eigentlichen Eheschließung stehen noch die Formalitäten. 
Eine Anmeldung ist frühestens 6 Monate vor der Eheschließung möglich. Fällt der Beginn Ihrer Anmeldefrist aufgrund Ihres gewünschten Eheschließungstermins auf einen Freitag oder ein Wochenende, so beginnt die Anmeldefrist für Sie am darauffolgenden Montag. 
Grundsätzlich sollten beide Verlobte sich die Zeit nehmen zur Anmeldung persönlich und gemeinsam während der Sprechzeiten vorzusprechen. Ist einer der Verlobten verhindert, so kann er sich in einer Beitrittserklärung mit der Anmeldung durch den anderen Verlobten einverstanden erklären. 
Zuständig für die Entgegennahme der Anmeldung ist der Standesbeamte, in dessen Bezirk einer der Verlobten einen gewöhnlichen Aufenthalt hat. 
Wenn Sie dennoch einmal warten müssen, bitte haben Sie Verständnis, wir werden uns für Sie die gleiche Zeit nehmen wie für die Kunden, die vor Ihnen bedient werden. 
Eheschließungstermin 
Wenn Sie beide Deutsche sind, volljährig und ledig, die genannten Kriterien auf Sie zutreffen, und alle Ihre Fragen durch diese Information ausgeräumt wurden, so können Sie sich nach Besorgung aller Unterlagen von Montag bis Donnerstag - zu den genannten Sprechzeiten - Ihre Eheschließung beim Standesamt anmelden. Dabei wird dann auch der von Ihnen gewünschte Eheschließungstermin besprochen. 
Wir bitten um Verständnis dafür, dass aus Gründen der Gleichbehandlung der Eheschließungstermin erst abgesprochen wird, wenn alle für die Anmeldung zur Eheschließung erforderlichen Nachweise vollständig dem zuständigen Standesbeamten vorgelegt worden sind. D.h. Reservierungen von Eheschließungsterminen werden nicht vorgenommen. 
Persönliche Beratung 
In folgenden Fällen empfehlen wir eine persönliche Beratung: 
 eine/r der Verlobten besitzt eine ausländische Staatsangehörigkeit, 
 eine/r der Verlobten hat minderjährige Kinder, 
 eine/r der Verlobten war schon ein- oder mehrmals verheiratet und/oder lebte in eingetragener(n) (gleichgeschlechtlichen) Lebenspartnerschaft (en), 
 eine/r der Verlobten ist nicht im Bundesgebiet geboren, 
 eine/r der Verlobten ist Asylberechtigter, ausländischer Flüchtling usw., 
 eine/r der Verlobten ist im Ausland geschieden worden, 
 eine/r der Verlobten ist minderjährig. 
Trauzimmer der Stadt Hildesheim 
Trauungen in Hildesheim finden im historischen Trauzimmer im Alten Rathaus statt. Im Einvernehmen mit dem Standesamt kann Ihre Eheschließung aber auch im Dachpavillon des Museums vorgenommen werden. 
Trauzeiten 
Trauungen finden grundsätzlich montags bis freitags von 9:30 Uhr bis 11:30 Uhr statt; nach Vereinbarung sind Trauungen auch montags bis mittwochs nachmittags möglich. 
Einmal im Monat werden Freitagsnachmittags- und Samstagsvormittagstrauungen durchgeführt. (Terminangebote siehe ""Dokumente"". Welche Termine davon aktuell noch verfügbar sind, erfahren Sie bei Rücksprache). 
Für Trauungen im Museumspavillon oder außerhalb der üblichen Öffnungszeiten entstehen zusätzliche Kosten. 
Bitte beachten Sie die Hinweise unter Eheschließungstermin (siehe oben). 
Was muss ich mitbringen? 
Es werden Unterlagen benötigt. Wenden Sie sich bitte an die zuständige Stelle. 
Welche Gebühren fallen an? 
Die Kosten für eine Eheschließung lassen sich nicht pauschal festlegen. Die folgenden Informationen sollen Ihnen helfen, die anfallenden Kosten einzuschätzen. Es fallen grundsätzlich folgende Gebühren an: 

 50,00 Euro wenn beide Brautleute die deutsche Staatsbürgerschaft besitzen, 
 Zuzüglich 40,00 Euro pro zu berücksichtigendes ausländisches Eheschließungsrecht, 
 15,00 Euro Eheurkunde (erstes Exemplar), weitere Exemplare dieser Urkunden kosten jeweils die Hälfte.",,
BN_9,"Eintragung in das Wählerverzeichnis zur Landtagswahl am 09. Oktober 2022 
Sehr geehrte Dame, sehr geehrter Herr, 
am 09. Oktober findet die Niedersächsische Landtagswahl statt. Wahlberechtigt ist unter anderem, wer die deutsche Staatsangehörigkeit besitzt und seit mindestens drei Monaten seinen Wohnsitz in Niedersachsen hat. Ein Zuzug, Umzug oder Fortzug wirkt sich je nach seinem Zeitpunkt sehr unterschiedlich auf Ihr Wahlrecht aus: 
1. Zuzug von außerhalb Niedersachsens nach Braunschweig nach dem 09. Juli 2022 
Sie sind nach dem Stichtag 09. Juli von einem Wohnort außerhalb Niedersachsens nach Braunschweig zugezogen und erfüllen somit nicht die 3-Monats-Frist. Daher sind Sie für die Landtagswahl nicht wahlberechtigt. 
2. Zuzug aus einer anderen Gemeinde Niedersachsens nach Braunschweig nach dem 28. August 2022 
Das Wählerverzeichnis der Stadt Braunschweig wurde bereits aufgestellt. Sie sind darin nicht erfasst worden. Um von Ihrem Wahlrecht Gebrauch machen zu können, bestehen für Sie folgende Möglichkeiten: 
Wählen am Wahlsonntag: Sie wählen persönlich im Wahlbezirk Ihrer bisherigen Wohngemeinde. 
Wählen durch Briefwahl: Sie beantragen bei Ihrer bisherigen Wohngemeinde einen Wahlschein mit Briefwahlunterlagen (formlos oder auf der Rückseite Ihrer Wahlbenachrichtigung). 
3. Umzug innerhalb Braunschweigs nach dem 28. August 2022 
Das Wählerverzeichnis ist bereits aufgestellt. Sie bleiben für die Landtagswahl in dem Wahlbezirk eingetragen, in dem Sie bisher Ihre Wohnung hatten. Um von Ihrem Wahlrecht Gebrauch machen zu können, bestehen für Sie folgende Möglichkeiten: 
Wählen am Wahlsonntag: Sie wählen persönlich in dem Wahllokal, das auf Ihrer Wahlbenachrichtigung eingetragen ist. 
Wählen durch Briefwahl: Sie beantragen beim Wahlamt einen Wahlschein mit Briefwahlunterlagen und nehmen über die Briefwahl an der Wahl teil. Den Antrag finden Sie auf der Rückseite Ihrer Wahlbenachrichtigung und im Internet unter www.braunschweig.de/briefwahl. 
4. Fortzug aus Braunschweig in eine andere Gemeinde Niedersachsens nach dem 28. August 2022 
Sie bleiben zur Landtagswahl noch im Wählerverzeichnis der Stadt Braunschweig eingetragen. Um von Ihrem Wahlrecht Gebrauch machen zu können, bestehen für Sie folgende Möglichkeiten: 
Wählen am Wahlsonntag: Sie wählen persönlich in dem Wahllokal, das auf Ihrer Wahlbenachrichtigung eingetragen ist. 
Wählen durch Briefwahl: Sie beantragen beim Wahlamt der Stadt Braunschweig einen Wahlschein mit Briefwahlunterlagen. Den Antrag finden Sie auf der Rückseite Ihrer Wahlbenachrichtigung und im Internet unter www.braunschweig.de/briefwahl. 
Sie haben Fragen zu Ihrem Wahlrecht? Oder Sie haben bis zum 18. September 2022 keine Wahlbenachrichtigung bekommen, obwohl Sie davon ausgehen wahlberechtigt zu sein? Bitte sprechen Sie uns an.",,
